TractID,Eviction Filing Rate
13067030412,0.0187
13067031405,0.00574
13067031101,0.0174
13067031505,0.00914
13067031116,0.0257
13067031312,0.0219
13067031508,0.0263
13067031208,0.0235
13067031409,0.019
13067030322,0.00719
13067030220,0.0152
13067030407,0.00147
13067030507,0.00377
13067031118,0.0256
13067030333,0.00813
13067030405,0.0407
13067030504,0.00159
13067031002,0.0166
13067031001,0.0249
13067031113,0.02
13067030326,0.00813
13067030310,0.00256
13067031308,0.00422
13067031309,0.0207
13067030311,0.00392
13067031115,0.00377
13067031408,0.00478
13067030219,0.0122
13067031205,0.0237
13067031509,0.0171
13067031507,0.0226
13067030902,0.019
13067030239,0.00897
13067031211,0.0136
13067031207,0.0326
13067030339,0.015
13067031005,0.00677
13067030231,0.00467
13067030229,0.00608
13067030700,0.00715
13067031310,0.0262
13067030214,0.0111
13067030230,0.00639
13067031404,0.002
13067030502,0.00198
13067030505,0.0128
13067031313,0.0256
13067030340,0.05
13067030209,0.00392
13067031506,0.0136
13067030223,0.00558
13067030341,0.00485
13067030228,0.032
13067030226,0.0207
13067031004,0.00742
13067030410,0.00457
13067031307,0.00932
13067030602,0.0117
13067030313,0.00939
13067030101,0.0158
13067030103,0.00618
13067030234,0.0112
13067030227,0.011
13067030106,0.00588
13067030107,0.00412
13067030314,0.00294
13067030408,0.00197
13067030601,0.027
13067031106,0.00575
13067031406,0.0198
13067031111,0.0133
13067030330,0.00662
13067030224,0.0111
13067030414,0.0297
13067030905,0.0117
13067031206,0.0194
13067030343,0.0116
13067030800,0.00388
13067030232,0.00741
13067030324,0.00741
13067031117,0.0141
13067030218,0.0132
13067030222,0.00722
13067030238,0.0136
13067030413,0.0216
13067030901,0.022
13067030328,0.00513
13067030904,0.0131
13067030345,0.0382
13067030104,0.00125
13067030506,0.0186
13067030312,0.00826
13067031114,0.0177
13067030320,0.00599
13067031306,0.0118
13067031110,0.0073
13067031108,0.021
13067030344,0.0194
13067031311,0.0301
13067031503,0.0156
13067030411,0.0217
13067031112,0.0159
13067030215,0.00556
