GEOID,Name of geographic unit,Short Label,Summary level of geographic unit,Geography Vintage,Planning Region,"Mean travel time to work (minutes), 2024",alt_transport_pct
13067030275,"Census Tract 302.75, Cobb County",302.75,Tract,2020,Atlanta Regional Commission,28.0,15.003695491500368
13067030276,"Census Tract 302.76, Cobb County",302.76,Tract,2020,Atlanta Regional Commission,44.6,6.492718446601941
13067030277,"Census Tract 302.77, Cobb County",302.77,Tract,2020,Atlanta Regional Commission,36.5,2.2915340547422023
13067030278,"Census Tract 302.78, Cobb County",302.78,Tract,2020,Atlanta Regional Commission,23.0,13.67942402425161
13067030319,"Census Tract 303.19, Cobb County",303.19,Tract,2020,Atlanta Regional Commission,28.1,5.516265912305516
13067030322,"Census Tract 303.22, Cobb County",303.22,Tract,2020,Atlanta Regional Commission,35.6,7.699852869053457
13067030324,"Census Tract 303.24, Cobb County",303.24,Tract,2020,Atlanta Regional Commission,28.5,5.385735080058224
13067030326,"Census Tract 303.26, Cobb County",303.26,Tract,2020,Atlanta Regional Commission,29.2,7.906976744186046
13067030327,"Census Tract 303.27, Cobb County",303.27,Tract,2020,Atlanta Regional Commission,35.9,5.695652173913043
13067030329,"Census Tract 303.29, Cobb County",303.29,Tract,2020,Atlanta Regional Commission,29.6,3.7852452684434144
13067030331,"Census Tract 303.31, Cobb County",303.31,Tract,2020,Atlanta Regional Commission,28.9,3.8253638253638256
13067030332,"Census Tract 303.32, Cobb County",303.32,Tract,2020,Atlanta Regional Commission,28.7,3.3974358974358974
13067030334,"Census Tract 303.34, Cobb County",303.34,Tract,2020,Atlanta Regional Commission,29.7,12.42149337055129
13067030335,"Census Tract 303.35, Cobb County",303.35,Tract,2020,Atlanta Regional Commission,29.6,4.4111349036402565
13067030337,"Census Tract 303.37, Cobb County",303.37,Tract,2020,Atlanta Regional Commission,28.0,3.063457330415755
13067030340,"Census Tract 303.40, Cobb County",303.4,Tract,2020,Atlanta Regional Commission,34.0,8.180466038671295
13067030341,"Census Tract 303.41, Cobb County",303.41,Tract,2020,Atlanta Regional Commission,29.4,7.158836689038031
13067030342,"Census Tract 303.42, Cobb County",303.42,Tract,2020,Atlanta Regional Commission,29.3,2.864583333333333
13067030343,"Census Tract 303.43, Cobb County",303.43,Tract,2020,Atlanta Regional Commission,32.0,2.435129740518962
13067030344,"Census Tract 303.44, Cobb County",303.44,Tract,2020,Atlanta Regional Commission,24.6,11.016002977298102
13067030345,"Census Tract 303.45, Cobb County",303.45,Tract,2020,Atlanta Regional Commission,32.7,4.660945650344943
13067030346,"Census Tract 303.46, Cobb County",303.46,Tract,2020,Atlanta Regional Commission,25.8,19.33941764450239
13067030347,"Census Tract 303.47, Cobb County",303.47,Tract,2020,Atlanta Regional Commission,29.2,11.28307538691962
13067030348,"Census Tract 303.48, Cobb County",303.48,Tract,2020,Atlanta Regional Commission,29.3,14.37937062937063
13067030349,"Census Tract 303.49, Cobb County",303.49,Tract,2020,Atlanta Regional Commission,26.9,1.5303430079155673
13067030350,"Census Tract 303.50, Cobb County",303.5,Tract,2020,Atlanta Regional Commission,28.8,10.256410256410255
13067030351,"Census Tract 303.51, Cobb County",303.51,Tract,2020,Atlanta Regional Commission,25.9,0.5979073243647235
13067030352,"Census Tract 303.52, Cobb County",303.52,Tract,2020,Atlanta Regional Commission,21.6,0.2522704339051463
13067030353,"Census Tract 303.53, Cobb County",303.53,Tract,2020,Atlanta Regional Commission,24.0,6.313744536182613
13067030354,"Census Tract 303.54, Cobb County",303.54,Tract,2020,Atlanta Regional Commission,29.3,6.072712744706353
13067030355,"Census Tract 303.55, Cobb County",303.55,Tract,2020,Atlanta Regional Commission,20.7,3.182179793158314
13067030356,"Census Tract 303.56, Cobb County",303.56,Tract,2020,Atlanta Regional Commission,27.7,4.178636719770175
13067030357,"Census Tract 303.57, Cobb County",303.57,Tract,2020,Atlanta Regional Commission,24.0,5.728727885425442
13067030358,"Census Tract 303.58, Cobb County",303.58,Tract,2020,Atlanta Regional Commission,28.7,4.642058165548098
13067030359,"Census Tract 303.59, Cobb County",303.59,Tract,2020,Atlanta Regional Commission,25.3,2.1671826625387
13067030360,"Census Tract 303.60, Cobb County",303.6,Tract,2020,Atlanta Regional Commission,29.1,5.375426621160409
13067030361,"Census Tract 303.61, Cobb County",303.61,Tract,2020,Atlanta Regional Commission,26.3,1.9039376893119864
13067030362,"Census Tract 303.62, Cobb County",303.62,Tract,2020,Atlanta Regional Commission,23.7,16.626506024096386
13067030363,"Census Tract 303.63, Cobb County",303.63,Tract,2020,Atlanta Regional Commission,27.3,1.0712035286704475
13067030364,"Census Tract 303.64, Cobb County",303.64,Tract,2020,Atlanta Regional Commission,31.8,4.401544401544402
13067030365,"Census Tract 303.65, Cobb County",303.65,Tract,2020,Atlanta Regional Commission,21.4,1.0393466963622866
13067030366,"Census Tract 303.66, Cobb County",303.66,Tract,2020,Atlanta Regional Commission,36.9,7.020057306590258
