TractID,Eviction Filing Rate,Eviction Filing Rate (normalized)
13067030412,0.0187,0.642051282051282
13067031405,0.00574,0.9078974358974359
13067031101,0.0174,0.6687179487179488
13067031505,0.00914,0.8381538461538461
13067031116,0.0257,0.4984615384615385
13067031312,0.0219,0.5764102564102564
13067031508,0.0263,0.48615384615384616
13067031208,0.0235,0.5435897435897437
13067031409,0.019,0.635897435897436
13067030322,0.00719,0.8781538461538462
13067030220,0.0152,0.7138461538461538
13067030407,0.00147,0.9954871794871795
13067030507,0.00377,0.9483076923076923
13067031118,0.0256,0.5005128205128205
13067030333,0.00813,0.8588717948717949
13067030405,0.0407,0.1907692307692308
13067030504,0.00159,0.9930256410256411
13067031002,0.0166,0.685128205128205
13067031001,0.0249,0.5148717948717949
13067031113,0.02,0.6153846153846154
13067030326,0.00813,0.8588717948717949
13067030310,0.00256,0.9731282051282051
13067031308,0.00422,0.9390769230769231
13067031309,0.0207,0.601025641025641
13067030311,0.00392,0.9452307692307692
13067031115,0.00377,0.9483076923076923
13067031408,0.00478,0.9275897435897436
13067030219,0.0122,0.7753846153846153
13067031205,0.0237,0.5394871794871796
13067031509,0.0171,0.6748717948717948
13067031507,0.0226,0.5620512820512822
13067030902,0.019,0.635897435897436
13067030239,0.00897,0.8416410256410256
13067031211,0.0136,0.7466666666666667
13067031207,0.0326,0.356923076923077
13067030339,0.015,0.717948717948718
13067031005,0.00677,0.8867692307692308
13067030231,0.00467,0.9298461538461539
13067030229,0.00608,0.9009230769230769
13067030700,0.00715,0.8789743589743589
13067031310,0.0262,0.4882051282051282
13067030214,0.0111,0.7979487179487179
13067030230,0.00639,0.8945641025641026
13067031404,0.002,0.9846153846153847
13067030502,0.00198,0.985025641025641
13067030505,0.0128,0.7630769230769231
13067031313,0.0256,0.5005128205128205
13067030340,0.05,0.0
13067030209,0.00392,0.9452307692307692
13067031506,0.0136,0.7466666666666667
13067030223,0.00558,0.9111794871794872
13067030341,0.00485,0.9261538461538461
13067030228,0.032,0.36923076923076925
13067030226,0.0207,0.601025641025641
13067031004,0.00742,0.8734358974358974
13067030410,0.00457,0.9318974358974359
13067031307,0.00932,0.8344615384615385
13067030602,0.0117,0.7856410256410257
13067030313,0.00939,0.833025641025641
13067030101,0.0158,0.7015384615384614
13067030103,0.00618,0.8988717948717949
13067030234,0.0112,0.7958974358974359
13067030227,0.011,0.8
13067030106,0.00588,0.905025641025641
13067030107,0.00412,0.9411282051282052
13067030314,0.00294,0.9653333333333334
13067030408,0.00197,0.9852307692307692
13067030601,0.027,0.4717948717948719
13067031106,0.00575,0.9076923076923077
13067031406,0.0198,0.6194871794871795
13067031111,0.0133,0.7528205128205128
13067030330,0.00662,0.8898461538461538
13067030224,0.0111,0.7979487179487179
13067030414,0.0297,0.4164102564102564
13067030905,0.0117,0.7856410256410257
13067031206,0.0194,0.6276923076923078
13067030343,0.0116,0.7876923076923077
13067030800,0.00388,0.9460512820512821
13067030232,0.00741,0.8736410256410256
13067030324,0.00741,0.8736410256410256
13067031117,0.0141,0.7364102564102564
13067030218,0.0132,0.7548717948717949
13067030222,0.00722,0.8775384615384616
13067030238,0.0136,0.7466666666666667
13067030413,0.0216,0.5825641025641026
13067030901,0.022,0.5743589743589744
13067030328,0.00513,0.9204102564102564
13067030904,0.0131,0.7569230769230769
13067030345,0.0382,0.24205128205128212
13067030104,0.00125,1.0
13067030506,0.0186,0.6441025641025642
13067030312,0.00826,0.8562051282051282
13067031114,0.0177,0.6625641025641026
13067030320,0.00599,0.9027692307692308
13067031306,0.0118,0.7835897435897436
13067031110,0.0073,0.8758974358974358
13067031108,0.021,0.5948717948717949
13067030344,0.0194,0.6276923076923078
13067031311,0.0301,0.40820512820512833
13067031503,0.0156,0.7056410256410257
13067030411,0.0217,0.5805128205128205
13067031112,0.0159,0.6994871794871795
13067030215,0.00556,0.9115897435897435
