LocationName,Obesity among adults,Obesity among adults (normalized)
13067030104,31.4,0.5195530726256985
13067030107,28.7,0.6703910614525141
13067030108,27.4,0.7430167597765365
13067030109,27.0,0.7653631284916202
13067030110,30.4,0.575418994413408
13067030111,30.4,0.575418994413408
13067030112,31.1,0.5363128491620112
13067030113,32.6,0.45251396648044695
13067030220,28.3,0.6927374301675978
13067030233,27.8,0.7206703910614525
13067030235,29.2,0.6424581005586594
13067030236,27.5,0.7374301675977655
13067030240,28.3,0.6927374301675978
13067030241,29.5,0.6256983240223464
13067030242,28.5,0.6815642458100559
13067030243,29.1,0.6480446927374302
13067030244,25.6,0.8435754189944134
13067030245,26.4,0.798882681564246
13067030246,31.3,0.5251396648044693
13067030247,27.5,0.7374301675977655
13067030248,26.0,0.8212290502793297
13067030249,29.7,0.6145251396648046
13067030250,26.0,0.8212290502793297
13067030251,26.6,0.7877094972067039
13067030252,27.1,0.7597765363128491
13067030253,28.4,0.6871508379888269
13067030254,34.3,0.35754189944134107
13067030255,28.6,0.6759776536312849
13067030256,26.3,0.8044692737430168
13067030257,29.5,0.6256983240223464
13067030258,27.5,0.7374301675977655
13067030259,29.9,0.6033519553072627
13067030260,31.4,0.5195530726256985
13067030261,30.5,0.5698324022346369
13067030262,26.9,0.7709497206703912
13067030263,27.2,0.7541899441340784
13067030264,26.7,0.782122905027933
13067030265,26.0,0.8212290502793297
13067030266,26.1,0.8156424581005586
13067030267,26.8,0.776536312849162
13067030268,27.4,0.7430167597765365
13067030269,30.6,0.5642458100558659
13067030270,29.2,0.6424581005586594
13067030271,33.5,0.4022346368715085
13067030272,28.0,0.7094972067039107
13067030273,26.8,0.776536312849162
13067030274,29.7,0.6145251396648046
13067030275,30.1,0.5921787709497206
13067030276,26.4,0.798882681564246
13067030277,27.4,0.7430167597765365
13067030278,29.1,0.6480446927374302
13067030319,23.7,0.9497206703910616
13067030322,24.9,0.8826815642458102
13067030324,27.3,0.7486033519553073
13067030326,24.6,0.8994413407821229
13067030327,27.1,0.7597765363128491
13067030329,26.6,0.7877094972067039
13067030331,24.6,0.8994413407821229
13067030332,23.3,0.9720670391061452
13067030334,24.5,0.9050279329608939
13067030335,24.3,0.9162011173184358
13067030337,23.2,0.9776536312849163
13067030340,25.0,0.8770949720670391
13067030341,25.6,0.8435754189944134
13067030342,25.6,0.8435754189944134
13067030343,24.1,0.9273743016759777
13067030344,30.7,0.558659217877095
13067030345,25.9,0.8268156424581007
13067030346,29.6,0.6201117318435754
13067030347,28.5,0.6815642458100559
13067030348,27.2,0.7541899441340784
13067030349,29.1,0.6480446927374302
13067030350,27.5,0.7374301675977655
13067030351,24.7,0.893854748603352
13067030352,24.4,0.9106145251396649
13067030353,25.8,0.8324022346368716
13067030354,23.5,0.9608938547486034
13067030355,26.0,0.8212290502793297
13067030356,23.3,0.9720670391061452
13067030357,24.8,0.888268156424581
13067030358,23.2,0.9776536312849163
13067030359,25.7,0.8379888268156426
13067030360,24.1,0.9273743016759777
13067030361,29.0,0.6536312849162011
13067030362,26.7,0.782122905027933
13067030363,29.0,0.6536312849162011
13067030364,26.3,0.8044692737430168
13067030365,24.1,0.9273743016759777
13067030366,22.8,1.0
13067030367,23.6,0.9553072625698323
13067030368,26.6,0.7877094972067039
13067030369,23.2,0.9776536312849163
13067030370,23.3,0.9720670391061452
13067030405,32.0,0.4860335195530727
13067030407,26.8,0.776536312849162
13067030408,24.6,0.8994413407821229
13067030409,23.9,0.9385474860335197
13067030410,27.1,0.7597765363128491
13067030411,33.8,0.38547486033519585
13067030412,35.0,0.3184357541899443
13067030413,33.9,0.37988826815642474
13067030414,37.7,0.16759776536312843
13067030505,33.2,0.4189944134078212
13067030506,32.2,0.4748603351955307
13067030507,28.7,0.6703910614525141
13067030508,31.9,0.4916201117318437
13067030509,25.7,0.8379888268156426
13067030510,23.9,0.9385474860335197
13067030511,33.1,0.4245810055865922
13067030602,25.7,0.8379888268156426
13067030603,26.8,0.776536312849162
13067030604,29.5,0.6256983240223464
13067030700,33.6,0.3966480446927375
13067030800,29.2,0.6424581005586594
13067030906,30.8,0.553072625698324
13067030907,28.2,0.6983240223463688
13067030908,32.8,0.4413407821229053
13067030909,32.6,0.45251396648044695
13067030910,35.0,0.3184357541899443
13067030911,35.7,0.2793296089385474
13067030912,36.1,0.25698324022346375
13067031001,37.4,0.18435754189944153
13067031004,38.9,0.10055865921787732
13067031005,32.3,0.46927374301676006
13067031006,33.3,0.4134078212290505
13067031007,39.9,0.044692737430167884
13067031101,35.8,0.27374301675977686
13067031110,28.5,0.6815642458100559
13067031111,29.6,0.6201117318435754
13067031112,26.3,0.8044692737430168
13067031113,34.8,0.3296089385474863
13067031114,29.0,0.6536312849162011
13067031115,30.8,0.553072625698324
13067031116,32.4,0.46368715083798906
13067031117,28.0,0.7094972067039107
13067031118,29.1,0.6480446927374302
13067031119,35.6,0.2849162011173185
13067031120,31.7,0.5027932960893856
13067031121,30.5,0.5698324022346369
13067031122,30.1,0.5921787709497206
13067031207,26.0,0.8212290502793297
13067031209,25.3,0.8603351955307262
13067031212,23.2,0.9776536312849163
13067031213,31.8,0.4972067039106146
13067031214,32.5,0.45810055865921795
13067031215,28.7,0.6703910614525141
13067031216,24.5,0.9050279329608939
13067031217,25.9,0.8268156424581007
13067031218,27.4,0.7430167597765365
13067031219,29.3,0.6368715083798884
13067031220,31.6,0.5083798882681565
13067031221,27.4,0.7430167597765365
13067031306,36.2,0.25139664804469275
13067031308,36.9,0.2122905027932963
13067031314,31.0,0.5418994413407823
13067031315,28.4,0.6871508379888269
13067031316,33.1,0.4245810055865922
13067031317,35.8,0.27374301675977686
13067031318,40.7,0.0
13067031319,39.1,0.08938547486033521
13067031320,39.8,0.05027932960893888
13067031321,39.0,0.09497206703910632
13067031322,34.3,0.35754189944134107
13067031323,32.0,0.4860335195530727
13067031324,31.8,0.4972067039106146
13067031325,28.2,0.6983240223463688
13067031409,37.1,0.2011173184357542
13067031410,31.7,0.5027932960893856
13067031411,36.7,0.22346368715083798
13067031412,35.7,0.2793296089385474
13067031413,34.8,0.3296089385474863
13067031414,30.8,0.553072625698324
13067031415,35.4,0.2960893854748605
13067031416,36.3,0.24581005586592208
13067031417,36.3,0.24581005586592208
13067031506,35.4,0.2960893854748605
13067031507,35.3,0.3016759776536315
13067031510,37.1,0.2011173184357542
13067031511,33.3,0.4134078212290505
13067031512,34.6,0.34078212290502796
13067031513,33.6,0.3966480446927375
13067031514,32.9,0.4357541899441343
13067031515,30.5,0.5698324022346369
13067031516,31.9,0.4916201117318437
13067031517,30.5,0.5698324022346369
13067031518,36.1,0.25698324022346375
