GEOID,"% Civilian non-institutionalized population, no health insurance, 2024","% Civilian non-institutionalized population, no health insurance, 2024 (normalized)"
13067030354,5.3,0.8923395445134575
13067030355,7.2,0.8530020703933747
13067030356,2.4,0.9523809523809523
13067030357,2.3,0.9544513457556936
13067030358,3.9,0.9213250517598344
13067030359,2.2,0.9565217391304348
13067030360,1.7,0.9668737060041408
13067030361,8.5,0.8260869565217391
13067030362,9.2,0.8115942028985508
13067030363,8.1,0.834368530020704
13067030364,4.1,0.917184265010352
13067030365,1.3,0.9751552795031055
13067030366,4.0,0.9192546583850931
13067030367,6.8,0.8612836438923395
13067030368,4.5,0.9089026915113871
13067030369,3.2,0.9358178053830227
13067030370,4.2,0.9151138716356108
13067030405,12.9,0.7349896480331263
13067030407,12.5,0.7432712215320911
13067030408,18.4,0.6211180124223603
13067030409,2.6,0.94824016563147
13067030410,4.1,0.917184265010352
13067030411,34.9,0.2795031055900621
13067030412,36.3,0.25051759834368537
13067030413,30.1,0.3788819875776397
13067030414,32.9,0.32091097308488614
13067030505,22.5,0.536231884057971
13067030506,17.7,0.6356107660455487
13067030507,7.9,0.8385093167701863
13067030508,23.0,0.525879917184265
13067030509,3.7,0.9254658385093167
13067030510,12.2,0.7494824016563146
13067030511,12.1,0.7515527950310559
13067030602,2.7,0.9461697722567288
13067030603,4.9,0.9006211180124224
13067030604,29.1,0.3995859213250518
13067030700,21.7,0.5527950310559007
13067030800,22.4,0.5383022774327122
13067030906,7.6,0.84472049689441
13067030907,11.7,0.7598343685300207
13067030908,26.8,0.44720496894409933
13067030909,48.4,0.0
13067030910,24.8,0.4886128364389234
13067030911,31.8,0.34368530020703936
13067030912,34.5,0.28778467908902694
13067031001,38.8,0.19875776397515532
13067031004,27.2,0.4389233954451346
13067031005,22.4,0.5383022774327122
13067031006,43.8,0.09523809523809523
13067031007,30.9,0.3623188405797102
13067031101,28.4,0.41407867494824024
13067031110,9.7,0.8012422360248447
13067031111,7.7,0.8426501035196687
13067031112,2.9,0.9420289855072463
13067031113,17.6,0.6376811594202898
13067031114,12.4,0.7453416149068323
13067031115,7.5,0.8467908902691511
13067031116,19.1,0.6066252587991718
13067031117,6.1,0.8757763975155279
13067031118,13.0,0.7329192546583851
13067031119,26.6,0.4513457556935817
13067031120,4.5,0.9089026915113871
13067031121,7.5,0.8467908902691511
13067031122,8.1,0.834368530020704
13067031207,4.8,0.9026915113871635
13067031209,2.4,0.9523809523809523
13067031212,2.7,0.9461697722567288
13067031213,6.0,0.8778467908902692
13067031214,6.1,0.8757763975155279
13067031215,8.3,0.8302277432712215
13067031216,2.7,0.9461697722567288
13067031217,8.7,0.8219461697722568
13067031218,4.6,0.9068322981366459
13067031219,23.9,0.5072463768115942
13067031220,17.2,0.6459627329192547
13067031221,3.2,0.9358178053830227
13067031306,10.4,0.7867494824016563
13067031308,24.5,0.494824016563147
13067031314,10.8,0.7784679089026915
13067031315,2.9,0.9420289855072463
13067031316,18.5,0.6190476190476191
13067031317,18.5,0.6190476190476191
13067031318,25.6,0.4720496894409938
13067031319,24.9,0.48654244306418226
13067031320,12.5,0.7432712215320911
13067031321,47.8,0.012422360248447228
13067031322,29.1,0.3995859213250518
13067031323,12.2,0.7494824016563146
13067031324,13.9,0.7142857142857142
13067031325,7.8,0.8405797101449275
13067031409,24.0,0.505175983436853
13067031410,15.2,0.6873706004140787
13067031411,10.2,0.7908902691511387
13067031412,14.9,0.6935817805383022
13067031413,8.0,0.8364389233954451
13067031414,14.4,0.7039337474120082
13067031415,19.3,0.6024844720496894
13067031416,8.5,0.8260869565217391
13067031417,24.6,0.49275362318840576
13067031506,10.6,0.7826086956521738
13067031507,11.0,0.7743271221532091
13067031510,12.8,0.7370600414078674
13067031511,9.6,0.8033126293995859
13067031512,17.9,0.6314699792960663
13067031513,13.8,0.7163561076604554
13067031514,15.7,0.6770186335403727
13067031515,9.5,0.805383022774327
13067031516,8.6,0.8240165631469979
13067031517,17.1,0.6480331262939958
13067031518,17.0,0.650103519668737
