GEOID,"Median value of owner-occupied unit (dollars), 2024","Median value of owner-occupied unit (dollars), 2024 (normalized)"
13067031006,205600.0,0.06570598989138617
13067031007,394300.0,0.2686310355952253
13067031101,411700.0,0.28734272502419617
13067031110,420400.0,0.2966985697386816
13067031111,319600.0,0.1882998171846435
13067031112,542800.0,0.4283256264114421
13067031113,392800.0,0.267017958920314
13067031114,368700.0,0.24110119367673943
13067031115,334000.0,0.2037853532637918
13067031116,322100.0,0.19098827830949563
13067031117,446000.0,0.3242284116571674
13067031118,554100.0,0.44047747069577375
13067031119,317400.0,0.18593397139477363
13067031120,375100.0,0.2479836541563609
13067031121,271400.0,0.13646628669749436
13067031122,374500.0,0.2473384234863964
13067031207,521200.0,0.40509732229271966
13067031209,626100.0,0.5179051510915152
13067031212,1074400.0,1.0
13067031213,379900.0,0.253145499516077
13067031214,430000.0,0.30702226045811376
13067031215,515800.0,0.39929024626303905
13067031216,638900.0,0.5316700720507581
13067031217,433100.0,0.31035595225293044
13067031218,522500.0,0.4064953220776428
13067031219,459900.0,0.3391762555113453
13067031220,434100.0,0.31143133670287126
13067031221,503500.0,0.38606301752876654
13067031306,332800.0,0.20249489192386277
13067031308,272800.0,0.13797182492741156
13067031314,423900.0,0.30046241531347456
13067031315,600900.0,0.4908054629530057
13067031316,390500.0,0.26454457468545006
13067031317,256000.0,0.1199053661684052
13067031318,243500.0,0.10646306054414453
13067031319,223700.0,0.08517044843531563
13067031320,278600.0,0.1442090547370685
13067031321,,
13067031322,218400.0,0.0794709108506291
13067031323,261500.0,0.1258199806430799
13067031324,353700.0,0.22497042692762662
13067031325,420200.0,0.2964834928486934
13067031409,274200.0,0.13947736315732875
13067031410,351800.0,0.222927196472739
13067031411,282000.0,0.1478653618668674
13067031412,144500.0,0.0
13067031413,330000.0,0.19948381546402838
13067031414,344800.0,0.21539950532315302
13067031415,341000.0,0.21131304441337778
13067031416,273200.0,0.13840197870738788
13067031417,212900.0,0.0735562963759544
13067031506,356800.0,0.22830411872244327
13067031507,283600.0,0.14958597698677278
13067031510,307700.0,0.17550274223034734
13067031511,351300.0,0.22238950424776857
13067031512,296600.0,0.16356597483600388
13067031513,307800.0,0.17561028067534143
13067031514,322200.0,0.19109581675448972
13067031515,414200.0,0.29003118614904827
13067031516,415400.0,0.2913216474889773
13067031517,398400.0,0.2730401118399828
13067031518,329600.0,0.19905366168405206
