GEOID,"% Population 25 years and over, bachelor's degree, 2024","% Population 25 years and over, bachelor's degree, 2024 (normalized)"
13067031004,11.5,0.1446028513238289
13067031005,20.3,0.32382892057026474
13067031006,7.3,0.0590631364562118
13067031007,9.5,0.10386965376782076
13067031101,23.5,0.3890020366598778
13067031110,27.1,0.46232179226069253
13067031111,36.9,0.6619144602851323
13067031112,32.3,0.5682281059063136
13067031113,33.4,0.5906313645621181
13067031114,46.0,0.8472505091649695
13067031115,29.3,0.5071283095723014
13067031116,25.2,0.4236252545824847
13067031117,35.0,0.6232179226069247
13067031118,34.1,0.604887983706721
13067031119,20.9,0.3360488798370672
13067031120,38.7,0.6985743380855398
13067031121,33.3,0.5885947046843176
13067031122,39.0,0.7046843177189409
13067031207,39.9,0.7230142566191445
13067031209,48.2,0.8920570264765785
13067031212,46.0,0.8472505091649695
13067031213,31.1,0.5437881873727088
13067031214,35.7,0.6374745417515275
13067031215,32.3,0.5682281059063136
13067031216,40.1,0.7270875763747454
13067031217,35.9,0.6415478615071283
13067031218,41.3,0.7515274949083502
13067031219,49.3,0.9144602851323829
13067031220,35.9,0.6415478615071283
13067031221,30.2,0.525458248472505
13067031306,17.7,0.27087576374745415
13067031308,18.9,0.29531568228105903
13067031314,43.2,0.7902240325865582
13067031315,36.1,0.6456211812627292
13067031316,23.1,0.3808553971486762
13067031317,16.4,0.24439918533604885
13067031318,14.8,0.21181262729124237
13067031319,13.1,0.17718940936863542
13067031320,26.3,0.4460285132382892
13067031321,11.6,0.1466395112016293
13067031322,26.1,0.4419551934826884
13067031323,23.7,0.3930753564154785
13067031324,29.2,0.5050916496945009
13067031325,32.0,0.5621181262729125
13067031409,17.9,0.27494908350305497
13067031410,13.0,0.175152749490835
13067031411,23.6,0.39103869653767825
13067031412,19.4,0.30549898167006106
13067031413,25.4,0.4276985743380855
13067031414,25.8,0.43584521384928715
13067031415,21.6,0.3503054989816701
13067031416,23.6,0.39103869653767825
13067031417,4.4,0.0
13067031506,21.8,0.35437881873727084
13067031507,20.2,0.3217922606924643
13067031510,20.1,0.319755600814664
13067031511,25.2,0.4236252545824847
13067031512,19.8,0.3136456211812627
13067031513,22.0,0.3584521384928717
13067031514,24.6,0.4114052953156823
13067031515,31.9,0.560081466395112
13067031516,42.5,0.7759674134419552
13067031517,25.6,0.4317718940936864
13067031518,26.1,0.4419551934826884
