GEOID,E_MHLTH,E_MHLTH (normalized)
13067030603,14.7,0.6102941176470589
13067030108,14.2,0.6470588235294119
13067030258,17.8,0.38235294117647056
13067030259,16.2,0.5
13067030260,15.9,0.5220588235294117
13067030271,16.6,0.47058823529411753
13067030277,14.1,0.6544117647058825
13067030358,12.5,0.7720588235294118
13067030505,19.6,0.2499999999999999
13067030511,15.7,0.536764705882353
13067031117,12.9,0.7426470588235294
13067030240,14.6,0.6176470588235294
13067030248,19.5,0.25735294117647056
13067030249,15.1,0.5808823529411765
13067030256,12.1,0.8014705882352942
13067030273,12.5,0.7720588235294118
13067030345,15.6,0.5441176470588236
13067030367,10.8,0.8970588235294117
13067030907,12.5,0.7720588235294118
13067030104,17.4,0.41176470588235303
13067030109,14.8,0.6029411764705882
13067030233,12.6,0.7647058823529412
13067030242,14.2,0.6470588235294119
13067030327,13.8,0.6764705882352942
13067030347,14.8,0.6029411764705882
13067030359,12.3,0.7867647058823529
13067030362,14.0,0.661764705882353
13067030346,15.6,0.5441176470588236
13067030370,10.7,0.9044117647058825
13067030408,12.8,0.75
13067030411,18.2,0.3529411764705883
13067031213,14.6,0.6176470588235294
13067031220,16.9,0.44852941176470595
13067031315,12.3,0.7867647058823529
13067031417,18.1,0.36029411764705876
13067031506,16.3,0.4926470588235293
13067030110,16.6,0.47058823529411753
13067030241,14.4,0.6323529411764706
13067030252,13.7,0.6838235294117647
13067030257,15.4,0.5588235294117647
13067030278,18.5,0.3308823529411765
13067030332,10.9,0.8897058823529411
13067030361,16.0,0.5147058823529411
13067030509,11.8,0.8235294117647058
13067030906,15.0,0.5882352941176471
13067031001,19.3,0.2720588235294117
13067030236,13.4,0.7058823529411764
13067030269,13.4,0.7058823529411764
13067030272,15.3,0.5661764705882353
13067030355,17.3,0.4191176470588235
13067030360,12.0,0.8088235294117647
13067031122,15.1,0.5808823529411765
13067031306,17.3,0.4191176470588235
13067031321,22.0,0.07352941176470584
13067031414,14.4,0.6323529411764706
13067030111,15.7,0.536764705882353
13067030343,10.7,0.9044117647058825
13067030348,14.9,0.5955882352941176
13067030357,11.7,0.8308823529411765
13067030364,12.2,0.7941176470588236
13067030369,11.0,0.8823529411764706
13067030506,18.1,0.36029411764705876
13067030909,17.1,0.4338235294117646
13067031110,14.8,0.6029411764705882
13067031111,14.6,0.6176470588235294
13067031114,16.3,0.4926470588235293
13067031118,13.9,0.6691176470588236
13067030113,16.6,0.47058823529411753
13067030276,14.0,0.661764705882353
13067030326,12.4,0.7794117647058824
13067030331,11.0,0.8823529411764706
13067030334,11.1,0.875
13067030407,13.3,0.713235294117647
13067030700,16.5,0.4779411764705882
13067030800,21.3,0.125
13067031113,17.2,0.42647058823529416
13067031214,17.1,0.4338235294117646
13067031314,13.8,0.6764705882352942
13067031322,16.7,0.4632352941176471
13067031412,17.0,0.4411764705882353
13067031415,17.1,0.4338235294117646
13067031515,14.5,0.625
13067031517,13.3,0.713235294117647
13067030245,13.4,0.7058823529411764
13067030247,21.2,0.13235294117647067
13067030344,16.6,0.47058823529411753
13067030368,12.3,0.7867647058823529
13067030908,16.1,0.5073529411764706
13067031005,16.9,0.44852941176470595
13067031007,19.5,0.25735294117647056
13067031209,11.3,0.8602941176470588
13067031219,16.6,0.47058823529411753
13067031319,20.0,0.22058823529411764
13067031323,14.5,0.625
13067031413,17.0,0.4411764705882353
13067030253,13.1,0.7279411764705883
13067030255,19.1,0.2867647058823528
13067030264,13.6,0.6911764705882353
13067030266,13.3,0.713235294117647
13067030322,12.7,0.7573529411764707
13067030409,11.2,0.8676470588235294
13067030414,22.5,0.03676470588235292
13067030604,18.2,0.3529411764705883
13067030910,18.1,0.36029411764705876
13067031318,20.3,0.19852941176470584
13067031324,15.7,0.536764705882353
13067031416,18.2,0.3529411764705883
13067031507,15.8,0.5294117647058822
