GEOID,"% Householder 65 years and over living alone, 2024","% Householder 65 years and over living alone, 2024 (normalized)"
13067030413,1.4,0.9619771863117871
13067030414,0.9,0.9809885931558935
13067030505,2.8,0.908745247148289
13067030506,6.4,0.7718631178707225
13067030507,7.9,0.714828897338403
13067030508,14.4,0.467680608365019
13067030509,5.4,0.8098859315589354
13067030510,7.3,0.7376425855513309
13067030511,5.4,0.8098859315589354
13067030602,23.5,0.1216730038022813
13067030603,4.9,0.8288973384030418
13067030604,3.3,0.8897338403041826
13067030700,21.1,0.21292775665399233
13067030800,7.0,0.7490494296577948
13067030906,6.3,0.7756653992395437
13067030907,15.6,0.42205323193916355
13067030908,6.3,0.7756653992395437
13067030909,14.3,0.47148288973384034
13067030910,13.7,0.49429657794676807
13067030911,4.6,0.8403041825095057
13067030912,14.3,0.47148288973384034
13067031001,2.6,0.9163498098859315
13067031004,7.6,0.726235741444867
13067031005,9.8,0.6425855513307985
13067031006,13.3,0.5095057034220533
13067031007,15.6,0.42205323193916355
13067031101,2.2,0.9315589353612167
13067031110,9.0,0.6730038022813689
13067031111,12.8,0.5285171102661597
13067031112,5.1,0.8212927756653993
13067031113,0.4,1.0
13067031114,6.5,0.7680608365019012
13067031115,8.5,0.6920152091254753
13067031116,4.4,0.8479087452471483
13067031117,4.1,0.8593155893536122
13067031118,9.1,0.6692015209125476
13067031119,15.3,0.4334600760456274
13067031120,10.4,0.6197718631178708
13067031121,13.1,0.5171102661596958
13067031122,10.0,0.6349809885931559
13067031207,3.3,0.8897338403041826
13067031209,7.0,0.7490494296577948
13067031212,13.0,0.5209125475285171
13067031213,11.6,0.5741444866920152
13067031214,3.4,0.8859315589353612
13067031215,7.0,0.7490494296577948
13067031216,1.1,0.973384030418251
13067031217,6.5,0.7680608365019012
13067031218,10.6,0.6121673003802282
13067031219,3.0,0.9011406844106464
13067031220,16.7,0.3802281368821293
13067031221,5.5,0.8060836501901141
13067031306,6.6,0.7642585551330798
13067031308,10.3,0.623574144486692
13067031314,0.6,0.9923954372623575
13067031315,4.6,0.8403041825095057
13067031316,2.0,0.9391634980988594
13067031317,12.6,0.5361216730038023
13067031318,4.8,0.8326996197718631
13067031319,4.1,0.8593155893536122
13067031320,6.1,0.7832699619771863
13067031321,1.7,0.9505703422053232
13067031322,13.7,0.49429657794676807
13067031323,2.3,0.9277566539923955
13067031324,9.7,0.6463878326996197
13067031325,7.0,0.7490494296577948
13067031409,8.5,0.6920152091254753
13067031410,6.8,0.7566539923954373
13067031411,14.3,0.47148288973384034
13067031412,12.3,0.5475285171102662
13067031413,6.1,0.7832699619771863
13067031414,11.5,0.5779467680608366
13067031415,7.8,0.7186311787072244
13067031416,5.0,0.8250950570342206
13067031417,4.0,0.8631178707224334
13067031506,11.2,0.5893536121673004
13067031507,9.4,0.6577946768060836
13067031510,5.1,0.8212927756653993
13067031511,7.9,0.714828897338403
13067031512,6.1,0.7832699619771863
13067031513,4.9,0.8288973384030418
13067031514,7.2,0.7414448669201521
13067031515,6.2,0.779467680608365
13067031516,2.4,0.9239543726235742
13067031517,13.9,0.48669201520912553
13067031518,9.6,0.6501901140684412
